p50,p10,p90,week,sku_id,model_type,model_version
448.1929621664463,421.8333932656623,476.19579501870976,1972-01-09,SKU0001,SARIMAX,v1.0.0
447.7139379645093,418.1056976107024,479.41388907731204,1972-01-16,SKU0001,SARIMAX,v1.0.0
433.98624510041645,405.27647794809604,464.7248048968578,1972-01-23,SKU0001,SARIMAX,v1.0.0
466.99926575108555,436.1105685602821,500.07073243494364,1972-01-30,SKU0001,SARIMAX,v1.0.0
458.99996419213875,428.6392336022483,491.50615518196395,1972-02-06,SKU0001,SARIMAX,v1.0.0
458.99999822335286,428.639265387232,491.5061916181484,1972-02-13,SKU0001,SARIMAX,v1.0.0
468.9999999099336,437.97925102872654,502.2128498047895,1972-02-20,SKU0001,SARIMAX,v1.0.0
456.9999999956451,426.77127022930404,489.3648622395055,1972-02-27,SKU0001,SARIMAX,v1.0.0
453.99999999978496,423.96927501330134,486.15286532967474,1972-03-05,SKU0001,SARIMAX,v1.0.0
464.9999999999891,434.2432574863459,497.93018734885806,1972-03-12,SKU0001,SARIMAX,v1.0.0
470.99999999999983,439.84724792609444,504.3541811773958,1972-03-19,SKU0001,SARIMAX,v1.0.0
467.00000000000017,436.1112542996024,500.0715186250453,1972-03-26,SKU0001,SARIMAX,v1.0.0
